title,author,price,format,link
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession (06/27/2023)",by Michael Finkel,"
$23.80","
Hardcover",https://www.barnesandnoble.com/w/the-art-thief-michael-finkel/1142363800;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9780525657323
The Butcher and the Wren: A Novel (09/13/2022),by Alaina Urquhart,"
$23.99","
Hardcover",https://www.barnesandnoble.com/w/the-butcher-and-the-wren-alaina-urquhart/1141240488;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781638930143
1964: Eyes of the Storm (06/13/2023),"by Paul McCartney, Jill Lepore (Introduction)","
$63.75","
Hardcover",https://www.barnesandnoble.com/w/1964-paul-mccartney/1142974485;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781324093060
Identity: A Novel (05/23/2023),by Nora Roberts,"
$21.00","
Hardcover",https://www.barnesandnoble.com/w/identity-c-carl-roberts/1110279268;jsessionid=FFF60017F7E9F6B8D41467DB904FEC3B.prodny_store01-atgap10?ean=9781250284112
Outlive: The Science and Art of Longevity (03/28/2023),"by Peter Attia MD, Bill Gifford (Editor)","
$28.80","
Hardcover",https://www.barnesandnoble.com/w/outlive-peter-attia-md/1141470538?ean=9780593236598
A Court of Thorns and Roses Collector's Edition (11/05/2019),by Sarah J. Maas,"
$31.50","
Hardcover",https://www.barnesandnoble.com/w/a-court-of-thorns-and-roses-collectors-edition-sarah-j-maas/1131254065?ean=9781547604173
Sanctuary of the Shadow (01/09/2024),by Aurora Ascher,"
$29.99","
Hardcover",https://www.barnesandnoble.com/w/sanctuary-of-the-shadow-aurora-ascher/1143362622?ean=9781649374110
The Graham Effect (B&N Exclusive Edition) (10/31/2023),by Elle Kennedy,"
$16.19","
Paperback",https://www.barnesandnoble.com/w/the-graham-effect-elle-kennedy/1143215732?ean=9781728293516
"Love, Theoretically (B&N Exclusive Edition) (06/13/2023)",by Ali Hazelwood,"
$15.30","
Paperback",https://www.barnesandnoble.com/w/love-theoretically-ali-hazelwood/1142531371?ean=9780593641293
The Four Agreements: A Practical Guide to Personal Freedom (11/07/1997),"by don Miguel Ruiz, Janet Mills","
$11.49","
Paperback",https://www.barnesandnoble.com/w/four-agreements-don-miguel-ruiz/1100993587?ean=9781878424310
